MonthYear,CPI,MeanCPI
Mar-15,1.3,2.3
Jun-15,1.5,2.2
Sep-15,1.5,2.1
Dec-15,1.7,2.1
Mar-16,1.3,1.7
Jun-16,1,1.6
Sep-16,1.3,1.6
Dec-16,1.5,1.5
Mar-17,2.1,1.7
Jun-17,1.9,1.7
Sep-17,1.8,1.7
Dec-17,1.9,1.7
Mar-18,1.9,1.7
Jun-18,2.1,1.6
Sep-18,1.9,1.7
Dec-18,1.8,1.8
Mar-19,1.3,1.6
Jun-19,1.6,1.6
Sep-19,1.7,1.5
Dec-19,1.8,1.5
Mar-20,2.2,1.7
Jun-20,-0.3,1.2
Sep-20,0.7,1.2
Dec-20,0.9,1.2
Mar-21,1.1,1.1
Jun-21,3.8,1.6
Sep-21,3,2.1
Dec-21,3.5,2.7
Mar-22,5.1,3.8
Jun-22,6.1,4.9
Sep-22,7.3,6.1
Dec-22,7.8,6.8
Mar-23,7,6.5
Jun-23,6,5.8
Sep-23,5.4,5.1
Dec-23,4.1,4.2
Mar-24,3.6,4
Jun-24,3.8,4
Sep-24,2.8,3.6
Dec-24,2.4,3.3
Mar-25,2.4,2.9